sample_index,design,request_group,metric_or_endpoint,url,status_code,response_size_bytes,elapsed_ms,error
5,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.029,
5,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.934,
5,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.890,
5,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.855,
5,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.964,
5,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.936,
5,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.309,
6,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.092,
6,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.897,
6,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.889,
6,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.768,
6,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.881,
6,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.825,
6,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.266,
7,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.044,
7,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.907,
7,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.893,
7,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.787,
7,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.831,
7,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.846,
7,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.321,
8,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.100,
8,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.876,
8,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.837,
8,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.721,
8,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.778,
8,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.772,
8,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.307,
9,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.090,
9,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.937,
9,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.873,
9,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.759,
9,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.793,
