sample_index,design,request_group,metric_or_endpoint,url,status_code,response_size_bytes,elapsed_ms,error
16,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.022,
16,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.854,
16,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.911,
16,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.862,
16,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.882,
16,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.857,
16,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.417,
17,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.146,
17,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.908,
17,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.876,
17,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.768,
17,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.790,
17,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.791,
17,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.240,
18,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.124,
18,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.911,
18,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.908,
18,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.874,
18,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.945,
18,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.870,
18,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.417,
19,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.134,
19,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.929,
19,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.885,
19,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.779,
19,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.819,
19,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.780,
19,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.242,
20,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.027,
20,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.878,
20,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.852,
20,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.780,
20,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.831,
20,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.792,
20,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.273,
